SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
TEJASNET, EQ, 25-Jun-2019, 144.85, 143.75, 149.90, 143.75, 146.00, 145.75, 146.70, 49772, 73.02, 2767, 30022, 60.32
TERASOFT, EQ, 25-Jun-2019, 36.25, 36.40, 36.40, 35.20, 35.50, 35.60, 35.68, 6953, 2.48, 114, 3239, 46.58
TEXINFRA, EQ, 25-Jun-2019, 49.75, 49.75, 51.40, 48.20, 50.00, 49.85, 49.67, 25822, 12.83, 134, 25285, 97.92
TEXMOPIPES, EQ, 25-Jun-2019, 18.15, 17.85, 18.60, 17.85, 18.20, 18.40, 18.24, 37421, 6.82, 175, 27596, 73.74
TEXRAIL, EQ, 25-Jun-2019, 68.90, 68.85, 69.50, 68.30, 69.00, 68.95, 69.00, 66840, 46.12, 1599, 23720, 35.49
TFCILTD, EQ, 25-Jun-2019, 111.95, 112.50, 113.65, 110.30, 111.00, 110.90, 111.16, 102045, 113.43, 1488, 86841, 85.10
TFL, EQ, 25-Jun-2019, 6.15, 6.45, 6.45, 6.45, 6.45, 6.45, 6.45, 710, 0.05, 5, 710, 100.00
TGBHOTELS, EQ, 25-Jun-2019, 5.00, 5.00, 5.15, 4.75, 4.75, 4.75, 4.87, 45094, 2.19, 78, 33836, 75.03
THANGAMAYL, EQ, 25-Jun-2019, 315.05, 324.95, 324.95, 310.55, 317.50, 323.15, 317.72, 847, 2.69, 57, 296, 34.95
THEINVEST, EQ, 25-Jun-2019, 116.40, 119.85, 119.85, 114.00, 115.20, 116.80, 116.87, 4714, 5.51, 49, 2395, 50.81
THEMISMED, EQ, 25-Jun-2019, 232.05, 238.00, 244.50, 225.55, 231.50, 228.15, 231.86, 1820, 4.22, 183, 1406, 77.25
THERMAX, EQ, 25-Jun-2019, 1069.80, 1077.00, 1083.00, 1055.00, 1062.00, 1061.70, 1069.48, 26392, 282.26, 4501, 9126, 34.58
THIRUSUGAR, BZ, 25-Jun-2019, 6.95, 6.80, 7.25, 6.65, 6.80, 6.70, 6.93, 3084, 0.21, 16, -, -
THOMASCOOK, EQ, 25-Jun-2019, 204.45, 205.00, 219.00, 202.70, 214.15, 213.55, 209.52, 77750, 162.90, 2476, 49164, 63.23
THYROCARE, EQ, 25-Jun-2019, 482.10, 481.35, 489.00, 473.35, 479.40, 479.25, 480.54, 39080, 187.80, 917, 33825, 86.55
TI, EQ, 25-Jun-2019, 14.80, 14.90, 15.05, 14.35, 14.65, 14.50, 14.81, 42278, 6.26, 146, 38150, 90.24
TIDEWATER, EQ, 25-Jun-2019, 4845.55, 4840.05, 4850.00, 4805.50, 4820.00, 4816.75, 4821.54, 313, 15.09, 170, 240, 76.68
TIIL, EQ, 25-Jun-2019, 427.50, 426.30, 428.00, 409.20, 418.00, 417.70, 416.77, 7088, 29.54, 647, 4247, 59.92
TIINDIA, EQ, 25-Jun-2019, 380.50, 380.50, 404.80, 380.00, 395.30, 399.90, 391.43, 61629, 241.23, 1820, 43012, 69.79
TIJARIA, EQ, 25-Jun-2019, 14.45, 14.00, 14.75, 13.65, 14.50, 14.50, 14.44, 4333, 0.63, 31, 4033, 93.08
TIL, EQ, 25-Jun-2019, 234.75, 234.75, 239.55, 234.70, 236.25, 236.85, 236.46, 1334, 3.15, 134, 923, 69.19
TIMESGTY, EQ, 25-Jun-2019, 32.35, 32.70, 33.95, 32.70, 32.70, 33.90, 33.83, 1000, 0.34, 3, 1000, 100.00
TIMETECHNO, EQ, 25-Jun-2019, 95.05, 95.10, 95.70, 93.00, 93.75, 93.85, 94.21, 70983, 66.87, 1676, 45679, 64.35
TIMKEN, EQ, 25-Jun-2019, 699.45, 689.00, 726.00, 689.00, 713.00, 710.80, 708.16, 64403, 456.08, 2675, 44043, 68.39
TINPLATE, EQ, 25-Jun-2019, 124.95, 123.55, 126.50, 122.95, 124.50, 124.95, 124.80, 145169, 181.17, 3308, 37322, 25.71
TIPSINDLTD, EQ, 25-Jun-2019, 56.55, 56.60, 58.40, 56.60, 58.40, 58.40, 58.00, 20985, 12.17, 9, 20985, 100.00
TIRUMALCHM, EQ, 25-Jun-2019, 74.75, 74.75, 76.35, 73.75, 74.70, 75.15, 74.94, 118786, 89.01, 1415, 58680, 49.40
TIRUPATI, SM, 25-Jun-2019, 40.05, 40.05, 40.05, 40.05, 40.05, 40.05, 40.05, 3000, 1.20, 1, 3000, 100.00
TITAN, EQ, 25-Jun-2019, 1300.05, 1309.00, 1320.85, 1296.05, 1317.00, 1318.15, 1309.32, 1955640, 25605.65, 83565, 589498, 30.14
TMRVL, EQ, 25-Jun-2019, 16.80, 16.90, 17.45, 16.75, 16.75, 16.90, 17.02, 2229, 0.38, 69, 1778, 79.77
TNPETRO, EQ, 25-Jun-2019, 33.95, 33.40, 34.50, 33.40, 34.35, 34.05, 33.95, 30452, 10.34, 299, 19298, 63.37
TNPL, EQ, 25-Jun-2019, 168.40, 169.95, 173.25, 166.30, 171.00, 170.00, 169.13, 49284, 83.35, 2560, 37672, 76.44
TNTELE, BE, 25-Jun-2019, 1.65, 1.60, 1.60, 1.60, 1.60, 1.60, 1.60, 1701, 0.03, 1, -, -
TOKYOPLAST, EQ, 25-Jun-2019, 50.00, 53.50, 55.95, 49.30, 49.60, 49.95, 50.37, 3358, 1.69, 59, 1112, 33.11
TORNTPHARM, EQ, 25-Jun-2019, 1512.10, 1511.20, 1553.00, 1500.50, 1550.00, 1546.35, 1541.47, 289131, 4456.87, 12470, 115442, 39.93
